lemma,synset,gloss,,,,,,,,
balito,v#00710378,cry plaintively,,,,,,,,
balito,v#00710504,talk whiningly,,,,,,,,
ballaena,n#01574318,any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head,,,,,,,,
ballo,v#01171148,move in a pattern, usually to musical accompaniment, do or perform a dance,,,,,,
ballo,v#01293338,move in a graceful and rhythmical way,,,,,,,,
ballo,v#01439432,skip, leap, or move up and down or sideways,,,,,,
balneum,n#02264436,a relatively large open container that you fill with water and use to wash the body,,,,,,,,
balo,v#00710378,cry plaintively,,,,,,,,
balo,v#00710504,talk whiningly,,,,,,,,
balsamum,n#02244794,a fragrant ointment containing a balsam resin,,,,,,,,
balsamum,n#03055972,used for healing or soothing,,,,,,,,
balsamum,n#10687979,any of various aromatic resinous substances used for healing and soothing,,,,,,,,
balteus,n#02280226,a band to tie or buckle around the body (usually at the waist),,,,,,,,
balteus,n#02280467,endless loop of flexible material between two rotating shafts or pulleys,,,,,,,,
baptisma,n#00163599,the act of washing yourself (or another person),,,,,,,,
baptisma,n#00163875,the work of washing or cleansing,,,,,,,,
baptisma,n#00670476,a Christian sacrament signifying spiritual cleansing and rebirth,,,,,,,,
baptista,n#07101139,follower of Baptistic doctrines,,,,,,,,
baptisterium,n#02248394,bowl for baptismal water,,,,,,,,
baptizatio,n#00670476,a Christian sacrament signifying spiritual cleansing and rebirth,,,,,,,,
baptizo,v#00695868,administer baptism to,,,,,,,,
barathrum,n#06735354,a bottomless gulf or pit,,,,,,,,
barathrum,n#06735438,"a deep opening in the earth""s surface",,,,,,,,
barba,n#01912914,hairy growth on or near the face of certain mammals,,,,,,,,
barba,n#04084808,"the hair growing on the lower part of a man""s face",,,,,,,,
barba,n#09383959,a tuft or growth of hairs or bristles on certain plants such as iris or grasses,,,,,,,,
barbaria,n#00270320,a brutal barbarous savage act,,,,,,,,
barbaricarius,n#07290279,someone whose occupation is apply an overlay of gold or gilt,,,,,,,,
barbitium,n#01912914,hairy growth on or near the face of certain mammals,,,,,,,,
barbitium,n#04084808,"the hair growing on the lower part of a man""s face",,,,,,,,
barbitium,n#09383959,a tuft or growth of hairs or bristles on certain plants such as iris or grasses,,,,,,,,
barbitos,n#02949126,a harp used by ancient Greeks for accompaniment,,,,,,,,
barcala,n#07156174,a person who is gullible and easy to take advantage of,,,,,,,,
bardocucullus,n#02451635,a loose outer garment,,,,,,,,
bardus,n#07101370,a lyric poet,,,,,,,,
bardus,a#00408403,lacking or marked by lack of intellectual acuity,,,,,,,,
baro,n#07577649,a person lacking intelligence or common sense,,,,,,,,
barrus,n#01997527,five-toed pachyderm,,,,,,,,
bascauda,n#02259535,a bowl-shaped vessel for holding liquids,,,,,,,,
bascauda,n#09912474,the quantity that a basin will hold,,,,,,,,
basiatio,n#00090133,a caress with the lips,,,,,,,,
basilica,n#02259110,a Roman building used for public administration,,,,,,,,
basilica,n#02259212,an early Christian church designed like a Roman basilica, or a Roman Catholic church or cathedral accorded certain privileges,,,,,,,
basiliscus,n#06854088,(classical mythology) a serpent (or lizard or dragon) able to kill with its breath or glance,,,,,,,,
basio,v#00980821,"touch with the lips or press the lips (against someone""s moth or other body part) as an expression of love, greeting, etc",,,,,,,,
basio,v#00981180,touch lightly or gently,,,,,,,,
basis,n#02255918,a support or foundation,,,,,,,,
basis,n#02256107,place that runner must touch before scoring,,,,,,,,
basis,n#02256337,(electronics) the part of a transistor that separates the emitter from the collector,,,,,,,,
basis,n#02256491,installation from which a military force initiates operations,,,,,,,,
basis,n#02717023,lowest supporting part of a structure,,,,,,,,
basis,n#03100005,an architectural support or base (as for a column or statue),,,,,,,,
basis,n#04465690,the fundamental assumptions underlying an explanation,,,,,,,,
basis,n#06263016,the place where you are stationed and from which missions start and end,,,,,,,,
basis,n#06278668,(anatomy) the part of an organ nearest its point of attachment,,,,,,,,
basium,n#00090133,a caress with the lips,,,,,,,,
batioca,n#02533299,a small open container usually used for drinking,,,,,,,,
batioca,n#02533651,a large metal vessel with two handles that is awarded to the winner of a competition,,,,,,,,
battuo,v#00779381,fight with fencing swords,,,,,,,,
battuo,v#00841893,hit against, come into sudden contact with,,,,,,,
beatitas,n#04755317,"one of the eight sayings of Jesus at the beginning of the Sermon on the Mount; in Latin each saying begins with ""beatus"" (blessed)",,,,,,,,
beatitas,n#10076721,a state of supreme happiness,,,,,,,,
beatitudo,n#04755317,"one of the eight sayings of Jesus at the beginning of the Sermon on the Mount; in Latin each saying begins with ""beatus"" (blessed)",,,,,,,,
beatitudo,n#10076721,a state of supreme happiness,,,,,,,,
beatus,a#00997654,having unexpected good fortune,,,,,,,,
beatus,a#01099314,enjoying or showing or marked by joy or pleasure or good fortune,,,,,,,,
bebo,v#00710378,cry plaintively,,,,,,,,
bebo,v#00710504,talk whiningly,,,,,,,,
beccus,n#01278388,horny projecting jaws of a bird,,,,,,,,
belbus,n#01626344,doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion,,,,,,,,
bellator,n#01711727,a wingless sterile ant or termite having a large head and powerful jaws adapted for defending the colony,,,,,,,,
bellator,n#07147424,someone who fights for a cause,,,,,,,,
bellator,n#07167829,someone who fights (or is fighting),,,,,,,,
bellator,n#07591125,an enlisted man or woman who serves in an army,,,,,,,,
bellatorius,a#01680772,inclined to make war,,,,,,,,
belle,r#00010099,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard,,,,,,,,
belle,r#00011647,thoroughly or completely, fully, often used as a combining form,,,,,,
belle,r#00215491,in an enjoyable manner,,,,,,,,
bellicosus,a#01680772,inclined to make war,,,,,,,,
bellifer,a#01680772,inclined to make war,,,,,,,,
belligerator,n#07674205,someone engaged in or experienced in warfare,,,,,,,,
bello,v#00738369,be engaged in a fight, carry on a fight,,,,,,,
bello,v#01765437,engage in a crusade for a certain cause or person,,,,,,,,
bellosus,a#01680772,inclined to make war,,,,,,,,
bellua,n#00008019,a living organism characterized by voluntary movement,,,,,,,,
bellua,n#06853216,an imaginary creature usually having various human and animal parts,,,,,,,,
bellua,n#07105886,a cruelly rapacious person,,,,,,,,
bellua,n#07277959,a person or animal that is markedly unusual or deformed,,,,,,,,
bellua,n#07418621,a cruel wicked and inhuman person,,,,,,,,
bellum,n#00610417,a hostile meeting of opposing military forces in the course of a war,,,,,,,,
bellum,n#00614914,an open clash between two opposing groups (or individuals),,,,,,,,
bellum,n#00619159,an engagement fought between two military forces,,,,,,,,
bellum,n#00626011,the waging of armed conflict against an enemy,,,,,,,,
bellum,n#00758807,the act of fighting, any contest or struggle,,,,,,,
bellum,n#00802991,an active struggle between competing entities,,,,,,,,
bellum,n#05369724,an intense verbal dispute,,,,,,,,
bellus,a#00606022,not rude, marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others,,,,,,,
bellus,a#02126746,of texture, being small-grained or smooth to the touch or having fine particles,,,,,,,
bellus,a#02232109,of the highest quality,,,,,,,,
belualis,a#01212141,resembling a beast, showing lack of human sensibility,,,,,,,
beluilis,a#01212141,resembling a beast, showing lack of human sensibility,,,,,,,
beluinus,a#01212141,resembling a beast, showing lack of human sensibility,,,,,,,
beluus,a#01212141,resembling a beast, showing lack of human sensibility,,,,,,,
bene,r#00010099,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard,,,,,,,,
bene,r#00011647,thoroughly or completely, fully, often used as a combining form,,,,,,
bene,r#00215491,in an enjoyable manner,,,,,,,,
benedico,v#00581211,express praise for,,,,,,,,
benedico,v#00587155,give a benediction to,,,,,,,,
benedico,v#00587298,render holy by means of religious rites,,,,,,,,
benedico,v#01548774,confer prosperity or happiness on,,,,,,,,
benedictio,n#00674885,the act of praying for divine protection,,,,,,,,
benedictio,n#00787796,the formal act of giving approval,,,,,,,,
benedictio,n#05373317,a ceremonial prayer invoking divine protection,,,,,,,,
benedictio,n#10382904,a desirable state,,,,,,,,
benedictus,a#00633225,highly favored or fortunate (as e.g. by divine grace),,,,,,,,
benefactor,n#06941293,a person who helps people or institutions,,,,,,,,
beneficentia,n#05609411,doing good, feeling beneficent,,,,,,,
beneficium,n#00020804,a kind act,,,,,,,,
beneficium,n#00062420,the performance of duties by a waiter or servant,,,,,,,,
beneficium,n#00371920,a stroke (in tennis or badminton or squash) that puts the ball in play,,,,,,,,
beneficium,n#00379388,work done by one person or group that benefits another,,,,,,,,
beneficium,n#00795713,an act of gracious kindness,,,,,,,,
beneficium,n#04033272,a right reserved exclusively by a particular person or group (especially a hereditary or official right),,,,,,,,
beneficium,n#05575676,a feeling of favorable regard,,,,,,,,
beneficus,a#01062627,willing to give and share unstintingly,,,,,,,,
beneficus,a#01065548,not petty in character and mind,,,,,,,,
beneplacitum,n#05575439,a feeling of liking something or someone good,,,,,,,,
benevolentia,n#00020804,a kind act,,,,,,,,
benevolentia,n#00795713,an act of gracious kindness,,,,,,,,
benevolentia,n#03659570,a disposition to kindness and compassion, benign good will,,,,,,,
benevolentia,n#03794011,an inclination to do kind or charitable acts,,,,,,,,
benevolentia,n#05575676,a feeling of favorable regard,,,,,,,,
benigne,r#00003409,in a kind manner or out of kindness,,,,,,,,
benigne,r#00193336,in a generous manner,,,,,,,,
benigne,r#00214779,in a polite manner,,,,,,,,
benigne,r#00389425,in a benevolent manner,,,,,,,,
benignitas,n#00693354,leniency and compassion shown toward offenders by a person or agency charged with administering justice,,,,,,,,
benignitas,n#03785586,a disposition to be kind and forgiving,,,,,,,,
benignitas,n#03788005,the trait of being generous in behavior and temperament,,,,,,,,
benignitas,n#03794011,an inclination to do kind or charitable acts,,,,,,,,
benigniter,r#00003409,in a kind manner or out of kindness,,,,,,,,
beo,v#01238865,give pleasure to, be pleasing to,,,,,,,
beryllus,n#10513798,the chief source of beryllium, colored transparent varieties are valued as gems,,,,,,,
bestia,n#00008019,a living organism characterized by voluntary movement,,,,,,,,
bestia,n#07105886,a cruelly rapacious person,,,,,,,,
bestialis,a#01212141,resembling a beast, showing lack of human sensibility,,,,,,,
bestiola,n#01667395,small air-breathing arthropod,,,,,,,,
beta,n#05117823,the 2nd letter of the Greek alphabet,,,,,,,,
beta,n#05757878,round red root vegetable,,,,,,,,
betulla,n#08585601,any betulaceous tree or shrub of the genus Betula having a thin peeling bark,,,,,,,,
bibilis,a#00759258,fit to drink,,,,,,,,
bibliopola,n#07120607,the proprietor of a bookstore,,,,,,,,
bibliotheca,n#02920454,a room where books are kept,,,,,,,,
bibliotheca,n#02920588,a building that houses a collection of books and other materials,,,,,,,,
bibliotheca,n#05981110,a collection of literary documents or records kept for reference or borrowing,,,,,,,,
bibliothecarius,n#07371702,a professional person trained in library science and engaged in library services,,,,,,,,
bibo,v#00795711,take in liquids,,,,,,,,
bibo,v#01059371,be able to take in, as of liquids,,,,,,,
bifariam,r#00081095,in a twofold manner,,,,,,,,
bilinguis,a#02343098,not in accordance with the fact or reality or actuality,,,,,,,,
bilis,n#04201458,a digestive juice secreted by the liver and stored in the gallbladder, aids in the digestion of fats,,,,,,,
bilis,n#05587878,a strong emotion, a feeling that is oriented toward some real or supposed grievance,,,,,,,
bilis,n#05588413,a feeling of intense anger,,,,,,,,
bilis,n#05588960,a feeling of righteous anger,,,,,,,,
bilis,n#10110870,the state of being angry,,,,,,,,
bilis,n#10336281,a constitutional tendency to be gloomy and depressed,,,,,,,,
bimaritus,n#07111730,someone who marries one person while already legally married to another,,,,,,,,
bipes,a#00237636,having two feet,,,,,,,,
bison,n#01907269,any of several large shaggy-maned humped bovids having large heads and short horns,,,,,,,,
bitumen,n#10512882,a dark bituminous substance found in natural beds and as residue from petroleum distillation, consists mainly of hydrocarbons,,,,,,,
bitumen,n#10589231,mixed asphalt and crushed gravel or sand, used especially for paving but also for roofing,,,,,,,
bitumen,n#10700221,any of various naturally occurring impure mixtures of hydrocarbons,,,,,,,,
bivium,n#02864766,a place where one street or road crosses another,,,,,,,,
blandificus,a#00862067,tending to reveal or represent favorably,,,,,,,,
blandimentum,n#05019992,flattery intended to persuade,,,,,,,,
blandior,v#00522215,influence or urge by gentle urging, caressing, or flattering,,,,,,
blandior,v#00596526,praise somewhat dishonestly,,,,,,,,
blanditia,n#00103541,the act of influencing by exciting hope or desire,,,,,,,,
blanditia,n#03692429,attractiveness that interests or pleases or stimulates,,,,,,,,
blanditia,n#05019872,excessive or insincere praise,,,,,,,,
blanditor,n#07267947,a person who uses flattery,,,,,,,,
blandulus,a#01728957,affording pleasure, being in harmony with your taste or likings,,,,,,,
blandus,a#00167697,pleasing to the eye or mind especially through beauty or charm,,,,,,,,
blandus,a#00862067,tending to reveal or represent favorably,,,,,,,,
blasphematio,n#05032520,harsh criticism or disapproval,,,,,,,,
blasphematio,n#05035217,a mild rebuke or criticism,,,,,,,,
blasphemia,n#05330964,blasphemous language (expressing disrespect for God or for something sacred),,,,,,,,
blasphemo,v#00586673,utter obscenities,,,,,,,,
blatero,v#00702751,to talk foolishly,,,,,,,,
blatio,v#00702751,to talk foolishly,,,,,,,,
blatta,n#01736855,any of numerous chiefly nocturnal insects, some are domestic pests,,,,,,,
boatus,n#05329393,a very loud utterance,,,,,,,,
boatus,n#05493195,a deep prolonged loud noise,,,,,,,,
boethus,n#07087094,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,,,,,,,,
boia,n#03124259,a wooden instrument on a post with holes for the neck and hands, offenders were locked in and so exposed to public scorn,,,,,,,
bolus,n#04017901,the advantageous quality of being beneficial,,,,,,,,
bolus,n#09540718,the excess of revenues over outlays in a given period of time,,,,,,,,
bolus,n#09906002,the quantity that was caught,,,,,,,,
bombus,n#05503005,a loud low dull continuous noise,,,,,,,,
bombyx,n#01803443,hairless white caterpillar of the Chinese silkworm moth, source of most commercial silk,,,,,,,
bombyx,n#01805171,larva of a saturniid moth, spins a large amount of strong silk in constructing its cocoon,,,,,,,
bombyx,n#03338120,a fabric made from the fine threads produced by certain insect larvae,,,,,,,,
bombyx,n#10792610,fibers from silkworm cocoons provide threads for knitting,,,,,,,,
bonitas,n#03785996,tendency to be kind and forgiving,,,,,,,,
bonitas,n#03793754,the quality of being warm-hearted and considerate and humane and sympathetic,,,,,,,,
bonitas,n#03794011,an inclination to do kind or charitable acts,,,,,,,,
bonitas,n#03800378,moral excellence or admirableness,,,,,,,,
bonitas,ononi,(n) (n-s---fn1-),,,,,,,,
bonitas,n#06463267,the capital of Emilia-Romagna, located in northern Italy east of the Apennines,,,,,,,
bonum,n#02476046,articles of commerce,,,,,,,,
bonum,n#04005893,that which is good or valuable or useful,,,,,,,,
bonum,n#04016440,the quality of having a superior or more favorable position,,,,,,,,
bonum,n#04019795,benefit,,,,,,,,
bonum,n#09534283,all of your assets (whether real or personal property) and liabilities,,,,,,,,
bonus,a#00258473,possessing or displaying courage, able to face and deal with danger or fear without flinching,,,,,,,
bonus,a#00595353,free from error, especially conforming to fact or truth,,,,,,,
bonus,a#00597129,correct in opinion or judgment,,,,,,,,
bonus,a#01318368,having or showing a tender and considerate and helpful nature, used especially of persons and their behavior,,,,,,,
bonus,a#01728957,affording pleasure, being in harmony with your taste or likings,,,,,,,
bonus,a#02379369,well grounded in logic or truth or having legal force,,,,,,,,
boo,v#00710581,shout loudly and without restraint,,,,,,,,
borealis,a#01546264,situated in or coming from regions of the north,,,,,,,,
borealis,orea,(n) (n-s---mn1g),,,,,,,,
borealis,n#07822038,a wind from the north,,,,,,,,
boreus,a#01546264,situated in or coming from regions of the north,,,,,,,,
borrio,v#01854237,be teeming, be abuzz,,,,,,,
bos,n#01403710,"mature female of mammals of which the male is called ""bull""",,,,,,,,
bos,n#01899320,any of various wild bovines especially of the genera Bos or closely related Bibos,,,,,,,,
bos,n#01899570,domesticated bovine animals as a group regardless of sex or age,,,,,,,,
bos,n#01900112,an adult castrated bull of the genus_Bos, especially Bos taurus,,,,,,,
bos,n#01900545,female of domestic cattle,,,,,,,,
bos,n#07129077,an investor with an optimistic market outlook,,,,,,,,
botulus,n#05718343,highly seasoned minced meat stuffed in casings,,,,,,,,
bovillus,a#02635189,of or relating to or belonging to the genus Bos (cattle),,,,,,,,
bovinus,a#02635189,of or relating to or belonging to the genus Bos (cattle),,,,,,,,
brabeuta,n#07523999,an official at a baseball game,,,,,,,,
bracchium,n#01664386,a structure like a pincer on the limb of a crustacean or other arthropods,,,,,,,,
bracchium,n#04310435,technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,,,,,,,,
brassica,n#08183904,any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers,,,,,,,,
bratteola,n#02760593,a very thin form of gold foil,,,,,,,,
brephotrophium,n#03063980,a public institution for the care of orphans,,,,,,,,
breviator,n#07053820,one who shortens or condenses a written work,,,,,,,,
breviculus,a#01385952,"(phonetics) of speech sounds (especially vowels) of relatively short duration (as e.g. the English vowel sounds in ""pat"", ""pet"", ""pit"", ""pot"", putt"")",,,,,,,,
breviloquens,a#00512104,expressing much in few words,,,,,,,,
breviloquentia,n#05303907,terseness achieved by expressing a great deal in just a few words,,,,,,,,
brevio,v#00166527,shorten, as of words,,,,,,,
brevio,v#00219644,make shorter than originally intended, reduce or retrench in length or duration,,,,,,,
brevio,v#00393490,make short or shorter,,,,,,,,
brevis,a#00512104,expressing much in few words,,,,,,,,
brevis,a#01336443,limited or below average in number or quantity or magnitude or extent,,,,,,,,
brevis,a#01385952,"(phonetics) of speech sounds (especially vowels) of relatively short duration (as e.g. the English vowel sounds in ""pat"", ""pet"", ""pit"", ""pot"", putt"")",,,,,,,,
brevis,a#01821083,marked by meekness or modesty, not arrogant or prideful,,,,,,,
brevitas,n#03944315,the attribute of being brief or fleeting,,,,,,,,
brevitas,n#05303907,terseness achieved by expressing a great deal in just a few words,,,,,,,,
brevitas,n#05304196,the use of brief expressions,,,,,,,,
breviter,r#00082992,with rapid movements,,,,,,,,
breviter,r#00102338,with little or no delay,,,,,,,,
breviter,r#00284957,in a concise manner, in a few words,,,,,,,
breviter,r#00285860,without taking pains,,,,,,,,
breviter,ritannicu,(a) (aps---mn1-),,,,,,,,
breviter,a#02778599,of or relating to or characteristic of Great Britain or its people or culture,,,,,,,,
bruchus,n#01730494,migratory grasshoppers of warm regions having short antennae,,,,,,,,
bruma,n#10946591,the coldest season of the year,,,,,,,,
brumalis,a#01204132,characteristic of or occurring in winter,,,,,,,,
brumalis,rutu,(n) (n-s---mn2-),,,,,,,,
brumalis,n#07702791,statesman of ancient Rome who (with Cassius) led a conspiracy to assassinate Julius Caesar (85-42 BC),,,,,,,,
brutus,a#00408403,lacking or marked by lack of intellectual acuity,,,,,,,,
bubalus,n#01904728,any of several Old World animals resembling oxen including, e.g., water buffalo, Cape buffalo,,,,,
bubalus,n#01907458,large shaggy-haired brown bison of North American plains,,,,,,,,
bubalus,n#01916377,graceful Old World ruminant with long legs and horns directed upward and backward: e.g. gazelles, springboks, impalas, addax, gerenuks, blackbucks, dik-diks,,
bubulinus,a#02635189,of or relating to or belonging to the genus Bos (cattle),,,,,,,,
bubulus,a#02635189,of or relating to or belonging to the genus Bos (cattle),,,,,,,,
bucca,n#03020602,the opening of a jar or bottle,,,,,,,,
bucca,n#04115147,the externally visible part of the oral cavity on the face,,,,,,,,
bucca,n#04115581,the opening through which food is taken in and vocalizations emerge,,,,,,,,
bucca,n#04116121,(anatomy) a natural hollow or sinus within the body,,,,,,,,
bucca,n#06728126,the point where a stream issues into a larger body of water,,,,,,,,
bucca,n#07421720,a person conceived as a consumer of food,,,,,,,,
bucca,n#09915440,the quantity that can be held in the mouth,,,,,,,,
buccellatum,n#05736172,"very hard unsalted biscuit or bread; a former ship""s staple",,,,,,,,
bucco,n#07156174,a person who is gullible and easy to take advantage of,,,,,,,,
bucco,n#07231679,"these words are used to express a low opinion of someone""s intelligence",,,,,,,,
bucco,n#07618181,a person who is not very bright,,,,,,,,
bucetum,n#06348384,a field covered with grass or herbage and suitable for grazing by livestock,,,,,,,,
bucolicus,a#01973612,used of idealized country life,,,,,,,,
bucolicus,a#02649313,of or relating to a pastor,,,,,,,,
bucolicus,a#02675993,relating to shepherds or herdsmen or devoted to raising sheep or cattle,,,,,,,,
bucula,n#01900832,young cow,,,,,,,,
buculus,n#N0000851,,,,,,,,,
bufo,n#01161215,any of various tailless stout-bodied amphibians with long hind limbs for leaping, semiaquatic and terrestrial species,,,,,,,
buglossos,n#09116186,perennial or biennial herb cultivated for its delicate usually blue flowers,,,,,,,,
bulbus,n#02923710,a glass bulb containing a wire filament (usually tungsten) that emits light when heated,,,,,,,,
bulbus,n#04063459,a rounded dilation or expansion in a canal or vessel or organ,,,,,,,,
bulbus,n#05760066,pungent bulb,,,,,,,,
bulbus,n#08734429,bulbous plant having hollow leaves cultivated worldwide for its rounded edible bulb,,,,,,,,
bulbus,n#08734702,edible bulb of an onion plant,,,,,,,,
bulbus,n#09422963,a modified bud consisting of a thickened globular underground stem serving as a reproductive structure,,,,,,,,
bulga,n#02236984,a portable rectangular traveling bag for carrying clothes,,,,,,,,
bulga,n#02237285,a bag used for carrying money and small personal items or accessories (especially by women),,,,,,,,
bulga,n#04275292,a hollow muscular organ in the pelvic cavity of females, contains the developing fetus,,,,,,,
bulla,n#03433357,circular rounded protuberance (as on a vault or shield or belt),,,,,,,,
bulla,n#06802591,a hollow globule of gas (e.g., air or carbon dioxide),,,,,,,
bullio,v#00227567,cook in boiling liquid,,,,,,,,
bullio,v#00261606,come to the boiling point and change from a liquid to vapor,,,,,,,,
bullo,v#00361885,form produce, or emit bubbles, as of liquids or gases,,,,,,
burdo,n#01887824,sterile offspring of a male horse and a female donkey or ass,,,,,,,,
burdonarius,n#07423434,a worker who drives mules,,,,,,,,
bustum,n#02768416,a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),,,,,,,,
bustum,n#04056524,the dead body of a human being,,,,,,,,
bustum,n#05971194,wood heaped for burning a dead body as a funeral rite,,,,,,,,
buxum,n#02704985,a high-pitched woodwind instrument, a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,,,,,,,
buxum,n#09045375,evergreen shrubs or small trees,,,,,,,,
buxum,n#09045736,very hard tough close-grained light yellow wood of the box especially the common box, used in delicate woodwork: musical instruments and inlays and engraving blocks,,,,,,,
buxum,yzantiu,(n) (n-s---nn2-),,,,,,,,
buxum,n#06459319,an ancient city on the Bosporus founded by the Greeks, site of modern Istanbul,,,,,,,
caballus,n#01875414,solid-hoofed herbivorous quadruped domesticated since prehistoric times,,,,,,,,
caballus,n#02894296,"a chessman in the shape of a horse""s head; can move two squares horizontally and one vertically (or vice versa)",,,,,,,,
caccabus,n#03163679,metal or earthenware cooking vessel that is usually round and deep, often has a handle and lid,,,,,,,
caccabus,n#09916130,the quantity contained in a pot,,,,,,,,
caco,v#00051515,have a bowel movement,,,,,,,,
cactos,n#05767222,only parts eaten are roots and especially stalks (blanched and used as celery), related to artichokes,,,,,,,
cactos,n#08267490,southern European plant having spiny leaves and purple flowers cultivated for its edible leafstalks and roots,,,,,,,,
cacumen,n#06349777,the top point of a mountain or hill,,,,,,,,
cacumen,n#06380834,the upper part of anything,,,,,,,,
cacumen,n#06387973,the highest point of something,,,,,,,,
cacumen,n#10019938,the uppermost part of a shape,,,,,,,,
cacumen,n#10045044,the highest level or degree attainable,,,,,,,,
cacumino,v#00850117,make sharp or sharper, as of knives,,,,,,,
cadaver,n#04056323,body of a dead animal or person,,,,,,,,
cadaver,n#04056524,the dead body of a human being,,,,,,,,
cadivus,a#02716367,of or relating to or characteristic of epilepsy,,,,,,,,
cado,v#00103366,decrease in size, extent, or range,,,,,,
cado,v#00143034,fall into decay or ruin,,,,,,,,
cado,v#00167516,become less in amount or intensity,,,,,,,,
cado,v#00236898,come as if by falling,,,,,,,,
cado,v#00237141,occur at a specified time or place,,,,,,,,
cado,v#00244343,bring to a conclusion or cause to come to an end,,,,,,,,
cado,v#00246253,bring to an end,,,,,,,,
cado,v#00250254,pass from physical life and lose all all bodily attributes and functions necessary to sustain life,,,,,,,,
cado,v#00301614,fall heavily or suddenly, decline markedly,,,,,,,
cado,v#01341375,move downward but not necessarily all the way,,,,,,,,
cado,v#01345838,to fall vertically,,,,,,,,
cado,v#01347279,drop sharply,,,,,,,,
cado,v#01352350,lose an upright position suddenly,,,,,,,,
cado,v#01575833,be captured,,,,,,,,
cado,v#01624789,lose office or power,,,,,,,,
cado,v#01779664,have an end, in a temporal, spatial, or quantitative sense,,,,,
cado,v#01787446,die, as in battle or in a hunt,,,,,,,
cado,v#01816128,be due,,,,,,,,
cado,v#01883959,fall from clouds,,,,,,,,
caducarius,a#02716367,of or relating to or characteristic of epilepsy,,,,,,,,
cadus,n#03563683,a large vase that usually has a pedestal or feet,,,,,,,,
caecitas,n#10073287,absence of light or illumination,,,,,,,,
caecitas,n#10436354,lack of sight,,,,,,,,
caecitudo,n#10436354,lack of sight,,,,,,,,
caecus,a#02076031,unable to see,,,,,,,,
caedes,n#00143589,unlawful premeditated killing of a human being,,,,,,,,
caedes,n#00145676,the savage and excessive killing of people,,,,,,,,
caedes,n#00808655,the wanton killing of many people,,,,,,,,
caedes,n#04197156,the fluid (red in vertebrates) that is pumped by the heart,,,,,,,,
caedo,v#00298808,cut down on, make a reduction in,,,,,,,
caedo,v#00334002,kill a large number of people indiscriminately,,,,,,,,
caedo,v#00822999,affect suddenly, usually adversely,,,,,,,
caedo,v#00841893,hit against, come into sudden contact with,,,,,,,
caedo,v#00901083,cut with a blade or mower,,,,,,,,
caedo,v#00902939,cut with sweeping strokes, as with an ax or machete,,,,,,,
caedo,v#00903064,kill, used of animals, but also used for people to indicate brutality,,,,,,
caedo,v#01206630,have an emotional or cognitive impact upon,,,,,,,,
caedo,v#01691743,kill intentionally and with premeditation,,,,,,,,
caelator,n#07243986,a skilled worker who can inscribe designs or writing onto a surface by carving or etching,,,,,,,,
caelebs,a#01420958,not married or related to the unmarried state,,,,,,,,
caeles,a#02538008,relating to or inhabiting a divine heaven,,,,,,,,
caeles,a#02538172,of or relating to the sky,,,,,,,,
caelestis,a#02538008,relating to or inhabiting a divine heaven,,,,,,,,
caelestis,a#02538172,of or relating to the sky,,,,,,,,
caelibatus,n#10062925,an unmarried status (as because of religious vows),,,,,,,,
caelibatus,n#10063146,the state of being an unmarried man,,,,,,,,
caelicola,n#06861622,any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,,,,,,,,
caelicus,a#02538008,relating to or inhabiting a divine heaven,,,,,,,,
caelicus,a#02538172,of or relating to the sky,,,,,,,,
caelo,v#00647197,add details to,,,,,,,,
caelo,v#00856483,form by carving,,,,,,,,
caelo,v#00856759,engrave or cut by chipping away at a surface,,,,,,,,
caelo,v#00902579,write upon, engrave a pen, for example,,,,,,
caelo,v#01145053,decorate with needlework,,,,,,,,
caelo,v#01195497,make an engraving of (an image),,,,,,,,
caelum,n#02433142,a hand tool with a flat steel blade with a cutting edge,,,,,,,,
caelum,n#03716758,a distinctive but intangible quality surrounding a person or thing,,,,,,,,
caelum,n#03844605,a distinctive manner,,,,,,,,
caelum,n#04384026,the concerns of the world as distinguished from heaven and the afterlife,,,,,,,,
caelum,n#05270417,a succession of notes forming a distinctive sequence,,,,,,,,
caelum,n#05957670,all of the inhabitants of the earth,,,,,,,,
caelum,n#06285184,the apparent surface of the imaginary sphere on which celestial bodies appear to be projected,,,,,,,,
caelum,n#06313922,any place of complete bliss and delight and peace,,,,,,,,
caelum,n#06326607,the abode of God and the angels and the souls of those who have gained salvation,,,,,,,,
caelum,n#06691078,everything that exists anywhere,,,,,,,,
caelum,n#06749007,outer space as viewed from the earth,,,,,,,,
caelum,n#06753779,the 3rd planet from the sun, the planet on which we live,,,,,,,
caelum,n#10413828,the weather in some location averaged over some long period of time,,,,,,,,
caelum,n#10417489,the prevailing psychological state,,,,,,,,
