"id";"word";"phrase";"gloss"
"a#00475938";" competens ";"";""
"a#00499767";" adustus ater caeruleus caligineus caliginosus niger ";"";""
"a#00500716";" concavus convexus ";"";""
"a#00502070";" convexus gibbus ";"";""
"a#00503286";" concumulatus ";"";""
"a#00512104";" breviloquens brevis concisus densus ";"";""
"a#00515480";" consectarius ";"";""
"a#00518922";" absonus discors dissonus ";"";""
"a#00520179";" constrictus ";"";""
"a#00521009";" distentus gravidus tumidus turgidus ";"";""
"a#00521442";" inflatus turgidus ";"";""
"a#00523510";" absolutus ";"";""
"a#00527630";" amoenus commodus delectabilis gratiosus gratus lepidus suavis ";"";""
"a#00533007";" contextus ";"";""
"a#00540342";" auspicatus sacer ";"";""
"a#00545700";" conspectus insignis manifestus oculatus ";"";""
"a#00546266";" amplus eminens grandis magnus ";"";""
"a#00549588";" indiscretus ";"";""
"a#00550988";" instabilis lubricus volaticus ";"";""
"a#00552895";" destructivus funestus ";"";""
"a#00553998";" causticus mordax ";"";""
"a#00559642";" perennis ";"";""
"a#00562039";" contextus continens continuatus continuus inoffensus perpes perpetuus ";"";""
"a#00564857";" contextus continens continuus perpes perpetuus ";"";""
"a#00566069";" moderatus ";"";""
"a#00569747";" controversus ";"";""
"a#00571902";" commodus ";"";""
"a#00572361";" importunus ";"";""
"a#00577362";" sollemnis translaticius ";"";""
"a#00580464";" apodicticus firmus ";"";""
"a#00585544";" corruptus insincerus pravus ";"";""
"a#00590319";" significans substantialis ";"";""
"a#00590782";" substantialis ";"";""
"a#00591091";" adumbratus ";"";""
"a#00594800";" incorporalis incorporeus ";"";""
"a#00595353";" bonus rectus verus ";"";""
"a#00596241";" corruptus falsus ";"";""
"a#00597129";" bonus rectus verus ";"";""
"a#00599047";" incorrigibilis inemendabilis ";"";""
"a#00602168";" compressus ";"";""
"a#00603752";" adfabilis comis communis urbanus ";"";""
"a#00604157";" inhumanus ";"";""
"a#00606022";" bellus civicus intestinus ";"";""
"a#00606314";" asper improbus inhumanus ";"";""
"a#00608243";" credibilis ";"";""
"a#00608804";" incredibilis ";"";""
"a#00609652";" credulus ";"";""
"a#00610261";" incredulus ";"";""
"a#00613933";" acutus argutulus sagax ";"";""
"a#00627092";" curiosus ";"";""
"a#00633225";" benedictus ";"";""
"a#00638748";" cyclicus ";"";""
"a#00641546";" perennis ";"";""
"a#00642842";" calamitosus ";"";""
"a#00647484";" surdus ";"";""
"a#00648783";" obscenus turpis ";"";""
"a#00649636";" decretorius ";"";""
"a#00653813";" decorus ";"";""
"a#00661714";" obsequens ";"";""
